Type,Unique ID,ID,Name,Begin Time,End Time,Life Time,
"Thread",92,9980,"Unknown","86,85","17.592,67","17.505,82",
"Thread",93,4184,"Unknown","86,85","17.592,67","17.505,82",
"Thread",94,1816,"Unknown","86,85","17.592,67","17.505,82",
"Thread",95,9200,"Unknown","86,85","17.592,67","17.505,82",
"Thread",96,11452,"Unknown","86,85","17.592,67","17.505,82",
"Thread",97,1904,"Unknown","86,86","17.592,67","17.505,82",
"Thread",98,8840,"Unknown","86,86","17.592,68","17.505,82",
"Thread",99,2960,"Unknown","86,86","17.592,68","17.505,82",
"Thread",100,4000,"Unknown","86,86","17.592,68","17.505,82",
"Thread",101,15032,"Unknown","86,86","17.592,68","17.505,82",
"Thread",102,2332,"Unknown","86,86","17.592,68","17.505,82",
"Thread",103,4644,"Unknown","199,39","17.592,66","17.393,27",
"Thread",104,10412,"Unknown","199,39","17.592,66","17.393,27",
"Thread",105,5388,"Unknown","199,39","17.592,66","17.393,27",
"Thread",106,1332,"Unknown","199,39","17.592,67","17.393,27",
"Thread",107,10176,"Unknown","199,39","17.592,67","17.393,27",
"Thread",108,7532,"Unknown","199,39","17.592,67","17.393,27",
"Thread",109,8128,"Unknown","199,39","17.592,67","17.393,27",
"Thread",110,680,"Unknown","199,39","17.592,67","17.393,27",
"Thread",111,6272,"Unknown","199,39","17.592,67","17.393,27",
"Thread",112,12776,"Unknown","199,40","17.592,67","17.393,27",
"Thread",113,13868,"Unknown","199,40","17.592,67","17.393,27",
"Thread",114,12936,"Unknown","199,40","17.592,67","17.393,27",
"Thread",115,5152,"Unknown","199,40","17.592,67","17.393,27",
"Thread",116,14008,"Unknown","199,40","17.592,67","17.393,27",
"Thread",117,8308,"Unknown","199,40","17.592,67","17.393,27",
"Thread",118,13616,"Unknown","199,40","17.592,67","17.393,27",
"Thread",119,2800,"Unknown","199,40","17.592,67","17.393,27",
"Thread",120,3584,"Unknown","199,40","17.592,67","17.393,27",
"Thread",121,9980,"Unknown","199,40","17.592,67","17.393,27",
"Thread",122,4184,"Unknown","199,40","17.592,67","17.393,27",
"Thread",123,1816,"Unknown","199,40","17.592,67","17.393,27",
"Thread",124,9200,"Unknown","199,40","17.592,67","17.393,27",
"Thread",125,11452,"Unknown","199,40","17.592,67","17.393,27",
"Thread",126,1904,"Unknown","199,40","17.592,67","17.393,27",
"Thread",127,8840,"Unknown","199,40","17.592,68","17.393,27",
"Thread",128,2960,"Unknown","199,40","17.592,68","17.393,27",
"Thread",129,4000,"Unknown","199,40","17.592,68","17.393,27",
"Thread",130,15032,"Unknown","199,40","17.592,68","17.393,27",
"Thread",131,2332,"Unknown","199,40","17.592,68","17.393,27",
"Process",4,2500,"Unknown","1.724,13","17.611,09","15.886,97",
"Thread",132,14056,"Unknown","1.736,70","17.611,07","15.874,37",
"Thread",133,11304,"Unknown","1.806,11","17.611,08","15.804,97",
"Thread",134,11980,"Unknown","1.806,46","17.611,08","15.804,61",
"Thread",135,14552,"Unknown","1.807,63","17.611,08","15.803,45",
"Thread",136,7948,"Unknown","1.815,29","17.611,08","15.795,78",
